value,country,indicator,year
0.157,AGO,46006,2000
8.29,AGO,46006,2005
40.261,AGO,46006,2010
49.847,AGO,46006,2011
50.921,AGO,46006,2012
51.066,AGO,46006,2013
52.159,AGO,46006,2014
49.793,AGO,46006,2015
45.076,AGO,46006,2016
44.686,AGO,46006,2017
43.131,AGO,46006,2018
13.521,BWA,46006,2000
31.337,BWA,46006,2005
118.937,BWA,46006,2010
143.905,BWA,46006,2011
151.098,BWA,46006,2012
157.416,BWA,46006,2013
163.29,BWA,46006,2014
163.875,BWA,46006,2015
152.273,BWA,46006,2016
146.96,BWA,46006,2017
150.006,BWA,46006,2018
0.032,COD,46006,2000
5.012,COD,46006,2005
18.308,COD,46006,2010
23.436,COD,46006,2011
29.111,COD,46006,2012
39.563,COD,46006,2013
50.297,COD,46006,2014
49.515,COD,46006,2015
36.667,COD,46006,2016
43.459,COD,46006,2017
43.382,COD,46006,2018
0.0,COM,46006,2000
2.538,COM,46006,2005
23.964,COM,46006,2010
30.632,COM,46006,2011
39.166,COM,46006,2012
46.864,COM,46006,2013
50.435,COM,46006,2014
54.64,COM,46006,2015
57.113,COM,46006,2016
57.614,COM,46006,2017
59.941,COM,46006,2018
1.063,LSO,46006,2000
12.514,LSO,46006,2005
49.482,LSO,46006,2010
61.501,LSO,46006,2011
76.666,LSO,46006,2012
88.256,LSO,46006,2013
104.666,LSO,46006,2014
103.94,LSO,46006,2015
110.019,LSO,46006,2016
113.831,LSO,46006,2017
113.831,LSO,46006,2018
0.4,MDG,46006,2000
2.783,MDG,46006,2005
36.459,MDG,46006,2010
39.923,MDG,46006,2011
39.284,MDG,46006,2012
36.85,MDG,46006,2013
41.178,MDG,46006,2014
44.127,MDG,46006,2015
32.129,MDG,46006,2016
34.143,MDG,46006,2017
40.57,MDG,46006,2018
0.288,MOZ,46006,2000
7.338,MOZ,46006,2005
30.7,MOZ,46006,2010
32.477,MOZ,46006,2011
35.415,MOZ,46006,2012
48.517,MOZ,46006,2013
70.313,MOZ,46006,2014
74.458,MOZ,46006,2015
53.991,MOZ,46006,2016
41.452,MOZ,46006,2017
47.716,MOZ,46006,2018
15.188,MUS,46006,2000
53.75,MUS,46006,2005
95.428,MUS,46006,2010
103.439,MUS,46006,2011
118.533,MUS,46006,2012
122.155,MUS,46006,2013
131.387,MUS,46006,2014
139.925,MUS,46006,2015
143.755,MUS,46006,2016
145.473,MUS,46006,2017
151.359,MUS,46006,2018
0.44,MWI,46006,2000
3.336,MWI,46006,2005
21.441,MWI,46006,2010
26.411,MWI,46006,2011
30.182,MWI,46006,2012
33.398,MWI,46006,2013
34.578,MWI,46006,2014
39.215,MWI,46006,2015
41.722,MWI,46006,2016
43.987,MWI,46006,2017
39.006,MWI,46006,2018
4.569,NAM,46006,2000
23.157,NAM,46006,2005
92.033,NAM,46006,2010
101.753,NAM,46006,2011
97.815,NAM,46006,2012
122.136,NAM,46006,2013
117.487,NAM,46006,2014
110.148,NAM,46006,2015
112.803,NAM,46006,2016
111.552,NAM,46006,2017
112.702,NAM,46006,2018
3.282,SWZ,46006,2000
19.407,SWZ,46006,2005
68.161,SWZ,46006,2010
71.503,SWZ,46006,2011
74.586,SWZ,46006,2012
82.165,SWZ,46006,2013
83.725,SWZ,46006,2014
85.232,SWZ,46006,2015
89.318,SWZ,46006,2016
93.527,SWZ,46006,2017
93.527,SWZ,46006,2018
32.052,SYC,46006,2000
66.337,SYC,46006,2005
128.843,SYC,46006,2010
137.777,SYC,46006,2011
147.382,SYC,46006,2012
146.464,SYC,46006,2013
160.628,SYC,46006,2014
156.082,SYC,46006,2015
158.664,SYC,46006,2016
173.497,SYC,46006,2017
184.298,SYC,46006,2018
0.33,TZA,46006,2000
7.709,TZA,46006,2005
47.318,TZA,46006,2010
56.196,TZA,46006,2011
57.848,TZA,46006,2012
56.603,TZA,46006,2013
63.776,TZA,46006,2014
77.047,TZA,46006,2015
75.485,TZA,46006,2016
73.095,TZA,46006,2017
77.241,TZA,46006,2018
18.544,ZAF,46006,2000
70.926,ZAF,46006,2005
98.35,ZAF,46006,2010
123.068,ZAF,46006,2011
129.454,ZAF,46006,2012
143.173,ZAF,46006,2013
145.351,ZAF,46006,2014
158.883,ZAF,46006,2015
146.622,ZAF,46006,2016
155.232,ZAF,46006,2017
153.25,ZAF,46006,2018
0.949,ZMB,46006,2000
8.009,ZMB,46006,2005
40.034,ZMB,46006,2010
58.222,ZMB,46006,2011
72.759,ZMB,46006,2012
69.646,ZMB,46006,2013
65.682,ZMB,46006,2014
72.785,ZMB,46006,2015
73.438,ZMB,46006,2016
79.737,ZMB,46006,2017
89.157,ZMB,46006,2018
2.242,ZWE,46006,2000
5.358,ZWE,46006,2005
60.641,ZWE,46006,2010
71.349,ZWE,46006,2011
96.178,ZWE,46006,2012
102.118,ZWE,46006,2013
86.84,ZWE,46006,2014
92.347,ZWE,46006,2015
91.794,ZWE,46006,2016
98.985,ZWE,46006,2017
89.405,ZWE,46006,2018
